DOI,来源,研究方向,论文标题,CR_摘要,CR_作者和机构,CR_参考文献DOI,topn_disciplines
10.1353/tcc.2023.a905566,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,"""This Absolutely Is Not a Hui Rebellion!"": The Ethnopolitics of Great Nationality Chauvinism in Early Maoist China","Abstract: Through the 1950s, the Chinese Communist Party (CCP) considered nationality disunity to be a product of ""great Han chauvinism."" But what happens when history's bad guys are not Han? In parts of China's Northwest, the party identified Hui Muslim elites as the main agents of nationality exploitation and Tibetans as their principal targets. It therefore declared Tibetans of all classes to be victims of nationality exploitation and ordered that ""good"" Muslims be distinguished from ""bad,"" a task made more urgent by a string of uprisings that engulfed several Muslim-majority areas of the Qinghai-Gansu Highlands from 1949 to 1953. While echoes can be found in the late Qing state's response to Muslim rebellion, this article argues that the CCP's approach to the ""Hui question"" must be viewed as part of a particular practice of minoritization and a framework for conceptualizing the new socialist nation-state that would leave Muslims and other non-Han communities susceptible to majoritarian-state violence.","[('Benno Weiner', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6635438948869705}, {""discipline"": ""0603 世界史"", ""score"": 0.6505851984024048}, {""discipline"": ""0304 民族学"", ""score"": 0.5155957728624344}, {""discipline"": ""0307 中共党史党建学"", ""score"": 0.511644787589709}, {""discipline"": ""0305 马克思主义理论"", ""score"": 0.5102900683879852}]"
10.1353/sys.2024.a946874,JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,"Zhedong Sea Merchants and the China-Japan Trade, ca. 800-1000 ce","Article Abstract: This article aims to highlight the achievements and activities of a network of sea merchants from the Zhedong (Zhejiang) region of China whose members were among the earliest known private traders to arrive in Japan. They were the predominant group of Chinese merchants trading in Japan from the ninth to eleventh centuries, and from approximately 850 to 1000, they were the only sea merchant group known to operate there. Not only were merchants from the Zhedong region instrumental in commercial and religious exchange between China and Japan, they were also adept at navigating through the many political upheavals of the Tang-Song transition. As such, their sudden decline at the end of the tenth century, in tandem with the rise of Fujian merchants in overseas trade, raises questions as to the nature of trade administration at this time. This article will consider the political implications of the rise and fall of merchant networks in Chinese history, as well as present new information that calls into question the idea that Japan was diplomatically isolated throughout the tenth century.","[('Gregory Sattler', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.5985503494739532}, {""discipline"": ""0603 世界史"", ""score"": 0.5969754974047342}, {""discipline"": ""0303 社会学"", ""score"": 0.582723718881607}, {""discipline"": ""0908 水产"", ""score"": 0.5068874150514603}, {""discipline"": ""0824 船舶与海洋工程"", ""score"": 0.5001636147499084}]"
10.1353/late.2024.a930391,LATE IMPERIAL CHINA,0602 History of China; 0603 World History,"Women Till and Women Weave: Rice, Cotton, and the Gendered Division of Labor in Jiangnan","Abstract: Composing roughly 40 percent of the total Chinese population, village women were the linchpin of the thriving rural economy in late imperial China. This article addresses the question of women's work by reassessing the millennia-old ""men till and women weave"" trope, which asserted that farming (or the outer sphere it represented) was improper for women. It argues that, despite being marginalized or even eroticized in male-centered narratives, many women in Jiangnan China's economic and cultural center sweated in the fields and swiftly shifted their tasks for the family or market needs. Specifically, men dominated the more lucrative, more recognizable, and, in many cases, less arduous tasks in rice cultivation, while women significantly contributed to other tasks in the rice paddies and dominated cotton farming. Such a gender division of labor was affected less by biological factors or gender norms than by a combination of the physical property of crops (especially if the crop invites animal traction), the labor market, and a constantly evolving gendered narrative. In addition to self-conscious scholarly records of the gendered labor regime, much of the research relies on an original use of 891 criminal cases in the First Historical Archives (aka xingke tiben) to approach rural work patterns and the digital humanities methods to analyze and visualize the cases that serve as random samples of the crop regimes and everyday activities of rural men and women.","[('You Wang', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6651728312174479}, {""discipline"": ""0603 世界史"", ""score"": 0.659105137983958}, {""discipline"": ""1203 农林经济管理"", ""score"": 0.5251155485709508}, {""discipline"": ""0601 考古学"", ""score"": 0.5190208425124486}, {""discipline"": ""0821 纺织科学与工程"", ""score"": 0.5167714099089304}]"
10.1353/sys.2024.a946876,JOURNAL OF SONG-YUAN STUDIES,0602 History of China; 0603 World History; 0303 Sociology,The Song Rediscovery of Chang'an,"Article Abstract: As Chang'an transformed from the capital in the Tang to a much smaller provincial seat in the Song, many material and immaterial pieces of the city were forever lost; but some, because of the work of a tightly-knit group of literati-officials in the second half of the eleventh century, were eventually rediscovered, preserved, and reorganized. This article examines the intellectual agenda shared by their works aimed at rediscovering Chang'an, and argues that, instead of the monumental structures and imperial ideology of the early and high Tang, Song literati-officials were more interested in either pre-Tang objects and structures still extant in Chang'an or the literary relics in the south of the city from the post-An Lushan era.","[('Xin Wen', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.5974848926067352}, {""discipline"": ""0303 社会学"", ""score"": 0.588647872209549}, {""discipline"": ""0603 世界史"", ""score"": 0.5872697750727336}, {""discipline"": ""0601 考古学"", ""score"": 0.504223608970642}, {""discipline"": ""0501 中国语言文学"", ""score"": 0.49619336823622384}]"
10.1353/late.2023.a918496,LATE IMPERIAL CHINA,0602 History of China; 0603 World History,The Short Life of a Statutory Label: War Mobilization and Underclass Migration in Eighteenth-Century Sichuan*,"Abstract: During the Qianlong period, both Qing state documents and the local sources in Sichuan preserved increased records of ""guolu,"" a label referring to a type of crime-prone, male, underclass migrants in Sichuan. Amid active policy discussions of the guolu problem, the Qing state first added a guolu substatute to the Qing Code in 1758 and later tried to eliminate guolu as a statutory category after a large incident in 1781. This article traces the trajectory of the statutory category of guolu and analyzes how the Qing state's strategy of managing underclass migrants in Sichuan transformed during the eighteenth century. In particular, this article contextualizes the legislative and policy turns within the socioeconomic impacts of the two Jinchuan Wars (1747&lt;en&gt;1749; 1771&lt;en&gt;1776), which significantly reshaped the scale of underclass mobility in Sichuan and scholar-officials' perceptions of underclass migrants. Influenced by the labor-intensive military supply and the socioeconomic impacts of warfare, the Qing state's policies on guolu criminality and underclass mobility transformed from the exclusion of targeted groups to the accommodation of nonagrarian means of livelihood and networks. The case of guolu suggests that the eighteenth-century Qing state was also developing policies of cooption and mobilization, in addition to statutory vilification, to tackle the quickly expanding scale of underclass mobility. Through this case, this article calls attention to the military perspective as a key to understanding the interactions among underclass criminality, judicial discourse, and bureaucratic process in Qing China.","[('Yiying Pan', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6585357586542765}, {""discipline"": ""0603 世界史"", ""score"": 0.6513794700304667}, {""discipline"": ""0306 公安学"", ""score"": 0.5154458045959474}, {""discipline"": ""0301 法学"", ""score"": 0.5112549155950545}, {""discipline"": ""0303 社会学"", ""score"": 0.507584830125173}]"
10.1353/sys.2023.a917262,JOURNAL OF SONG-YUAN STUDIES,0602 History of China; 0603 World History; 0303 Sociology,THREE VISIONS OF THE REALM I N SOUTHERN SONG DEBATES ON THE SPATIAL ORDER OF ANTIQUITY,"Abstract: This article traces the Southern Song discourse on the size and the basic organizational principles of the realm under the ancient sage kings. It shows how scholars reconciled different spatial concepts outlined in the Confucian Classics, and how they interpreted the various specifications of size, of spatial hierarchies, and of borders. We can distinguish three visions of the realm in their writings: a confined realm of comparatively small expanse with a clear distinction between inside and outside; a mutable realm that was spatially and organizationally flexible; and an unlimited realm that incorporated distant territories into a harmonious order.","[('Martin Hofmann', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6016669809818268}, {""discipline"": ""0303 社会学"", ""score"": 0.5976118743419647}, {""discipline"": ""0603 世界史"", ""score"": 0.5904247800509135}, {""discipline"": ""0705 地理学"", ""score"": 0.5179068197806675}, {""discipline"": ""0833 城乡规划学"", ""score"": 0.5156929284334183}]"
10.24112/ijccpm.212655,INTERNATIONAL JOURNAL OF CHINESE & COMPARATIVE PHILOSOPHY OF MEDICINE,0602 History of China; 0712 History of Science and Technology,Revisiting the Cognitive and Ethical Value of Plague Theories in Traditional Chinese Medicine for Contemporary Epidemic Prevention and Risk Control,"LANGUAGE NOTE | Document text in Chinese; abstract also in English.&#x0D; 在對中國古代瘟疫理論和公共衛生的研究中，往往認為傳統中醫學的傳染觀念和瘟疫理論不夠＂科學”和＂精准”，在公共衛生和社會防疫等中觀維度上無法發揮積極作用。但中醫學瘟疫理論，將疫情描述為彌漫性環境風險與人類活動相互作用的動態圖景，不僅具有在特定社會歷史環境和時人認知觀念背景下的時代合理性，相較於現代傳染病學＂傳染鏈”的線性分析模型，對當今疫情也能夠給出一個更具整體性的風險認知模型，具有不可替代的價值。更重要的是，古典瘟疫理論有助於打破傳染鏈交織迭加成群體流行的線性思維所帶來的道德難題，為促成全人類肩並肩面對風險、共同承擔責任與持續性協同抗疫的價值目標，提供一個基於中國文化傳統的論證依據。&#x0D; In the study of concepts developed in the context of public health management in ancient China, the notion of infectiousness and plague theories in TCM (Traditional Chinese Medicine) are often perceived to have little significance to epidemic prevention and public health today because they are viewed as “unscientific.” This paper, however, argues that the doctrine of yinqi (the epidemic qi) and the concept of infectiousness in TCM present a dynamic interaction between diffuse environmental risks and human activities in a specific spatio-temporal context. The concept of epidemic qi offers a unique cognitive model with which to approach the epidemic risk in a given socio-historical environment that differs from a linear analysis of the “chain of infection” in modern medicine. The paper concludes that the plague theories reflected in TCM are relevant to the contemporary understanding of risk control during a public health crisis.","[('國斌 程', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6611799816290538}, {""discipline"": ""0712 科学技术史"", ""score"": 0.6589760839939117}, {""discipline"": ""1005 中医学"", ""score"": 0.5495969921350479}, {""discipline"": ""1004 公共卫生与预防医学"", ""score"": 0.5466649333635967}, {""discipline"": ""1006 中西医结合"", ""score"": 0.54280832807223}]"
10.1353/late.2024.a948073,LATE IMPERIAL CHINA,0603 World History; 0602 History of China,Xenophobia Among Han Chinese Elites in the High Qing,"Abstract: This article examines how Han Chinese elites reacted to foreign influences in the eighteenth century. As domestic politics shifted, anti-foreign sentiments increased, with Han literati expressing intertwined resentments toward Christianity, Tibetan Buddhism, and Manchu rule. These issues were often entangled and carefully discussed under Qing censorship. While initially subtle, these anti-foreign feelings surfaced in works like the novel Yesou puyan , reflecting growing dissatisfaction with foreign elements and foreshadowing the rise of anti-Manchu sentiments near the end of the Qing dynasty.","[('Wonmook Kang', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6548175364732742}, {""discipline"": ""0603 世界史"", ""score"": 0.645758060614268}, {""discipline"": ""0502 外国语言文学"", ""score"": 0.5077656259139378}, {""discipline"": ""0101 哲学"", ""score"": 0.5066795309384664}, {""discipline"": ""0501 中国语言文学"", ""score"": 0.5044477860132853}]"
10.1353/tcc.2024.a917209,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,"Writing the People's Science: One Hundred Thousand Whys and the Politics of Science Popularization in China, 1931-1975","Abstract: This article focuses on One Hundred Thousand Whys ( Shiwan ge weishenme ), modern China's single most popular book series for science dissemination. A translation of a 1929 work from the Soviet Union, it took on new life throughout China's eventful twentieth century. Challenging the prevalent understanding that antisuperstition was the most important goal of science dissemination in Mao-era China, I illustrate how science dissemination in the 1960s aimed to spark readers' interest in natural sciences and prepare them to contribute to national construction. I argue that, during the Cultural Revolution, when political propaganda was bluntly integrated into science dissemination materials, these materials remained consistent with previous editions and continued to serve as reliable references for readers seeking scientific knowledge.","[('Yinyin Xue', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.682979561885198}, {""discipline"": ""0603 世界史"", ""score"": 0.6707632879416148}, {""discipline"": ""0712 科学技术史"", ""score"": 0.534328591823578}, {""discipline"": ""1005 中医学"", ""score"": 0.5275433758894602}, {""discipline"": ""0303 社会学"", ""score"": 0.5251607080300649}]"
10.1353/sys.2024.a946877,JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,Utopia Discovered: The Construction of Accessible Grotto - heaven Landscapes in Song Literature,"Article Abstract: The Song dynasty witnessed a significant shift in the literary representation of grotto-heavens—the sacred caves initially worshipped in religious Daoism that symbolized enlightenment and abundance. Prior to the Song dynasty, the poetic depiction of grotto-heavens had largely remained a marginal trope, with the few poems extant on this topic portraying the cavern spaces as alien and forbidden. However, Song literati displayed a newfound interest in celebrating grotto-heavens through their poetry. Using a poetry collection dedicated to the Grand Cleanse Grotto-heaven as a representative case, this article demonstrates that Song poets reimagined the enigmatic Daoist grottos as landscapes accessible to secular literati. Their literary reimagination of grotto-heavens as accessible places illuminates literati attempts to expand their knowledge by drawing inspiration from Daoist treatises, the legacies of earlier literary paragons, and their personal experiences visiting grotto-heaven landscapes.","[('Li Wanmeng', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.5813820650180181}, {""discipline"": ""0603 世界史"", ""score"": 0.5755372087160746}, {""discipline"": ""0303 社会学"", ""score"": 0.5725531637668609}, {""discipline"": ""0704 天文学"", ""score"": 0.5022397935390472}, {""discipline"": ""0601 考古学"", ""score"": 0.49415755271911616}]"
